model_family,model_key,mode,feature_bundle,repeat,fold,n_train,n_val,decision_threshold,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed
LightGBM,lightgbm,single,low_plus_medium,1,5,2466,616,0.5,0.8636363636363636,0.9175438596491228,0.9339285714285714,0.9256637168141593,0.1956521739130435,0.16071428571428573,0.17647058823529413,0.11800738902068769
LightGBM,lightgbm,two-stage,low_plus_medium,1,5,2466,616,0.5,0.8798701298701299,0.9189655172413793,0.9517857142857142,0.9350877192982456,0.25,0.16071428571428573,0.1956521739130435,0.12054710027914659
RandomForest,rf,single,low_plus_medium,1,5,2466,616,0.5,0.8587662337662337,0.9070567986230637,0.9410714285714286,0.9237510955302366,0.05714285714285714,0.03571428571428571,0.04395604395604396,0.10150028423753486
XGBoost,xgboost,single,low_plus_medium,1,5,2466,616,0.5,0.8766233766233766,0.9074074074074074,0.9625,0.9341421143847487,0.045454545454545456,0.017857142857142856,0.02564102564102564,0.11927373498070368
XGBoost,xgboost,two-stage,low_plus_medium,1,5,2466,616,0.5,0.8782467532467533,0.9061976549413735,0.9660714285714286,0.9351771823681936,0.0,0.0,0.0,0.08807566034609657
LogisticRegression,lr,single,low_plus_medium,2,1,2465,617,0.5,0.640194489465154,0.9401041666666666,0.6446428571428572,0.7648305084745762,0.1459227467811159,0.5964912280701754,0.23448275862068965,0.17471285034663306
LogisticRegression,lr,two-stage,low_plus_medium,2,1,2465,617,0.5,0.6693679092382496,0.9218009478672986,0.6946428571428571,0.7922606924643585,0.12307692307692308,0.42105263157894735,0.19047619047619047,0.16060283365755157
LightGBM,lightgbm,single,low_plus_medium,2,1,2465,617,0.5,0.8833063209076175,0.9080267558528428,0.9696428571428571,0.9378238341968912,0.10526315789473684,0.03508771929824561,0.05263157894736842,0.1483763534294163
LightGBM,lightgbm,two-stage,low_plus_medium,2,1,2465,617,0.5,0.8946515397082658,0.9090909090909091,0.9821428571428571,0.944206008583691,0.16666666666666666,0.03508771929824561,0.057971014492753624,0.11654270176784766
RandomForest,rf,single,low_plus_medium,2,1,2465,617,0.5,0.8752025931928687,0.9072512647554806,0.9607142857142857,0.9332176929748482,0.08333333333333333,0.03508771929824561,0.04938271604938271,0.1414630620099663
