repeat,fold,n_features,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed,model_key,mode,gate_type,selected_trial,feature_bundle,variant
1,2,32,0.8946515397082658,0.9159663865546218,0.9732142857142857,0.9437229437229437,0.3181818181818182,0.12280701754385964,0.17721518987341772,0.24669176418702105,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
1,3,32,0.8863636363636364,0.9152542372881356,0.9642857142857143,0.9391304347826087,0.23076923076923078,0.10714285714285714,0.14634146341463414,0.16655728722881466,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
1,4,32,0.8863636363636364,0.9138513513513513,0.9660714285714286,0.9392361111111112,0.20833333333333334,0.08928571428571429,0.125,0.1686671303729145,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
1,5,32,0.8685064935064936,0.9108061749571184,0.9482142857142857,0.9291338582677166,0.12121212121212122,0.07142857142857142,0.0898876404494382,0.14171629265661287,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
2,1,32,0.8816855753646677,0.9134125636672326,0.9607142857142857,0.9364664926022629,0.21428571428571427,0.10526315789473684,0.1411764705882353,0.1482085945531976,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
2,2,32,0.9043760129659644,0.9154228855721394,0.9857142857142858,0.9492691315563199,0.42857142857142855,0.10526315789473684,0.16901408450704225,0.21398716878448196,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
2,3,32,0.8944805194805194,0.9159663865546218,0.9732142857142857,0.9437229437229437,0.2857142857142857,0.10714285714285714,0.15584415584415584,0.20897570422361125,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
2,4,32,0.8603896103896104,0.9232142857142858,0.9232142857142858,0.9232142857142858,0.23214285714285715,0.23214285714285715,0.23214285714285715,0.19512746223115102,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
2,5,32,0.8587662337662337,0.9156414762741653,0.9303571428571429,0.9229406554472985,0.1702127659574468,0.14285714285714285,0.1553398058252427,0.1649515110126904,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
1,1,50,0.8541329011345219,0.9288321167883211,0.9089285714285714,0.9187725631768953,0.2608695652173913,0.3157894736842105,0.2857142857142857,0.2206657917094777,lr,single,diagnostic,22,low_plus_medium,minus_interactions
1,2,50,0.7763371150729336,0.9153543307086615,0.8303571428571429,0.8707865168539326,0.12844036697247707,0.24561403508771928,0.1686746987951807,0.1233576198677504,lr,single,diagnostic,22,low_plus_medium,minus_interactions
1,3,50,0.827922077922078,0.9235074626865671,0.8839285714285714,0.9032846715328468,0.1875,0.26785714285714285,0.22058823529411764,0.17234122053358605,lr,single,diagnostic,22,low_plus_medium,minus_interactions
1,4,50,0.788961038961039,0.9215686274509803,0.8392857142857143,0.8785046728971962,0.1509433962264151,0.2857142857142857,0.19753086419753085,0.16311382278511444,lr,single,diagnostic,22,low_plus_medium,minus_interactions
1,5,50,0.7922077922077922,0.916988416988417,0.8482142857142857,0.8812615955473099,0.1326530612244898,0.23214285714285715,0.16883116883116883,0.13809964706880382,lr,single,diagnostic,22,low_plus_medium,minus_interactions
2,1,50,0.873581847649919,0.9198606271777003,0.9428571428571428,0.9312169312169312,0.2558139534883721,0.19298245614035087,0.22,0.14742059240559513,lr,single,diagnostic,22,low_plus_medium,minus_interactions
2,2,50,0.8573743922204214,0.9244604316546763,0.9178571428571428,0.921146953405018,0.2459016393442623,0.2631578947368421,0.2542372881355932,0.2118978744388373,lr,single,diagnostic,22,low_plus_medium,minus_interactions
2,3,50,0.8246753246753247,0.9232209737827716,0.8803571428571428,0.9012797074954296,0.18292682926829268,0.26785714285714285,0.21739130434782608,0.18533683796003805,lr,single,diagnostic,22,low_plus_medium,minus_interactions
2,4,50,0.7727272727272727,0.92,0.8214285714285714,0.8679245283018868,0.13793103448275862,0.2857142857142857,0.18604651162790697,0.1559721873467229,lr,single,diagnostic,22,low_plus_medium,minus_interactions
2,5,50,0.7808441558441559,0.9224652087475149,0.8285714285714286,0.8730009407337723,0.1504424778761062,0.30357142857142855,0.20118343195266272,0.1443408873579154,lr,single,diagnostic,22,low_plus_medium,minus_interactions
1,1,34,0.880064829821718,0.9233449477351916,0.9464285714285714,0.9347442680776014,0.3023255813953488,0.22807017543859648,0.26,0.2209535845156515,lr,two-stage,diagnostic,37,v2_lr2,baseline
1,2,34,0.8768233387358185,0.9201388888888888,0.9464285714285714,0.9330985915492958,0.2682926829268293,0.19298245614035087,0.22448979591836735,0.18726845595583375,lr,two-stage,diagnostic,37,v2_lr2,baseline
1,3,34,0.8831168831168831,0.9206896551724137,0.9535714285714286,0.9368421052631579,0.2777777777777778,0.17857142857142858,0.21739130434782608,0.18546162464686416,lr,two-stage,diagnostic,37,v2_lr2,baseline
1,4,34,0.8636363636363636,0.9175438596491228,0.9339285714285714,0.9256637168141593,0.1956521739130435,0.16071428571428573,0.17647058823529413,0.16545468365111865,lr,two-stage,diagnostic,37,v2_lr2,baseline
1,5,34,0.8668831168831169,0.9178321678321678,0.9375,0.9275618374558304,0.20454545454545456,0.16071428571428573,0.18,0.16210897220601497,lr,two-stage,diagnostic,37,v2_lr2,baseline
2,1,34,0.8589951377633711,0.9141856392294221,0.9321428571428572,0.9230769230769231,0.17391304347826086,0.14035087719298245,0.1553398058252427,0.13109706967181464,lr,two-stage,diagnostic,37,v2_lr2,baseline
2,2,34,0.880064829821718,0.9175257731958762,0.9535714285714286,0.9352014010507881,0.2571428571428571,0.15789473684210525,0.1956521739130435,0.18394008006287604,lr,two-stage,diagnostic,37,v2_lr2,baseline
2,3,34,0.8977272727272727,0.927710843373494,0.9625,0.9447852760736196,0.4,0.25,0.3076923076923077,0.22918328528536067,lr,two-stage,diagnostic,37,v2_lr2,baseline
2,4,34,0.862012987012987,0.9233511586452763,0.925,0.9241748438893844,0.23636363636363636,0.23214285714285715,0.23423423423423423,0.24519358924851486,lr,two-stage,diagnostic,37,v2_lr2,baseline
2,5,34,0.875,0.9244288224956063,0.9392857142857143,0.9317980513728964,0.2765957446808511,0.23214285714285715,0.2524271844660194,0.19983077839304822,lr,two-stage,diagnostic,37,v2_lr2,baseline
1,1,31,0.8784440842787682,0.9246935201401051,0.9428571428571428,0.9336870026525199,0.30434782608695654,0.24561403508771928,0.27184466019417475,0.21978354110950066,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
1,2,31,0.8752025931928687,0.9214659685863874,0.9428571428571428,0.9320388349514563,0.2727272727272727,0.21052631578947367,0.2376237623762376,0.19633749091878966,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
1,3,31,0.8814935064935064,0.9205526770293609,0.9517857142857142,0.935908691834943,0.2702702702702703,0.17857142857142858,0.21505376344086022,0.18902279772659863,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
1,4,31,0.8652597402597403,0.9176882661996497,0.9357142857142857,0.9266136162687887,0.2,0.16071428571428573,0.1782178217821782,0.1790845484539612,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
1,5,31,0.8685064935064936,0.9179755671902269,0.9392857142857143,0.9285083848190644,0.20930232558139536,0.16071428571428573,0.18181818181818182,0.16734459952737493,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
2,1,31,0.8622366288492707,0.9144851657940664,0.9357142857142857,0.9249779346866726,0.18181818181818182,0.14035087719298245,0.15841584158415842,0.13635874901722567,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
2,2,31,0.8784440842787682,0.918825561312608,0.95,0.9341527655838455,0.2631578947368421,0.17543859649122806,0.21052631578947367,0.18373053289594887,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
2,3,31,0.8977272727272727,0.927710843373494,0.9625,0.9447852760736196,0.4,0.25,0.3076923076923077,0.23672160924782448,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
